N,trial,iteration_reached,runtime_seconds,bits,H,V,top_score
1,1,0,4.54,"0, 1","1, 1","1, 1","1.0"
2,1,0,3.89,"0, 1, 1, 1, 0, 0, 0, 0, 0, 0","1,2,1,2","1, 2, 1, 2","1.0"
3,1,0,5.22,"0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0","3, 1, 2, 2, 1, 3","3, 1, 2, 3, 2, 1","3.0"
4,1,2,14.16,"1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1","3, 1, 2, 2, 4, 3, 4, 1","2, 3, 4, 3, 1, 1, 2, 4","6.0"
5,1,56,364.73,"1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1","5, 3, 4, 4, 1, 2, 5, 1, 3, 2","4, 5, 1, 5, 2, 1, 3, 2, 4, 3","10.0"
6,1,26,287.74,"1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1","6, 1, 5, 6, 4, 2, 5, 1, 3, 4, 3, 2","4, 6, 5, 3, 5, 4, 1, 6, 2, 3, 2, 1","15.0"
7,1,612,10364.94,"1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0","2, 6, 3, 1, 2, 4, 3, 7, 7, 1, 5, 4, 6, 5","2, 4, 3, 5, 3, 4, 1, 7, 2, 1, 6, 6, 5, 7","21.0"
